@ref(networkElement)|@const(IpagPPort)class
@index(CE_PPort)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|port_aid|port_ipaddr|port_num|product_type|remote_device_name|remote_device_type|remote_device_ipaddr|remote_deviceloopbackip|remote_slot_name|remote_port_aid|slavlan|cdnbind|uni_nni|aafda_role|acnaban|assoc_nni_pport|clci|clfi|diverse_circuit_id|device_type|ineffect|mpa_connect_type|nmvlan
10.204.34.64/25|10.204.34.64/25|10.204.34.64/25|NFO-MOBILITY|NTE|NTE|true|S|25||0||SNJSCADR0AW|CIENA EMUX|10.204.30.65|||2|||NNI|||||JU104/GE1N/SNJSCAALW02/SNJSCADR0AW||CIENA NTE|N||4092
10.204.9.0/5|10.204.9.0/5|10.204.9.0/5|NTE-CFO|IPAG|NTE|true|B|5||0||||||||||UNI|||9|02/SHAS/171011/SS|||CIENA NTE|Y||
10.204.80.234/25|10.204.80.234/25|10.204.80.234/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||SNJSCAHUDK3|JUNIPER MX SERIES|12.122.122.250|12.123.80.214||ge-1/0/1|||NNI|||||R101T/GE1N/SNJSCAHUDK3/SNJSCAHULP1||CIENA NTE|Y||4092
10.204.11.151/26|10.204.11.151/26|10.204.11.151/26|NFO-MOBILITY|NTE|NTE|true|B|26||1||DYBHFLMA308|JUNIPER MX SERIES|10.204.243.122|143.0.68.248||ge-0/0/8|||NNI|||||JU101/GE1N/DYBHFLMA308/DYBHFLMCS4V||CIENA NTE|Y||4092
10.204.82.94/1|10.204.82.94/1|10.204.82.94/1|NTE-CFO|IPAG|NTE|true|S|1||1||||||||||UNI|||25|25/HUNI/555214/RG|||CIENA NTE|Y||
10.204.80.96/2|10.204.80.96/2|10.204.80.96/2|NTE-CFO|IPAG|NTE|true|S|2||2||||||||||UNI|||25|00/KULD/123654/K1|||CIENA NTE|Y||
10.204.160.118/25|10.204.160.118/25|10.204.160.118/25|NFO-MOBILITY|NTE|NTE|true|B|25||1||RLGHNCMOABC|JUNIPER MX SERIES|10.204.246.201|12.80.68.136||ge-0/0/0|||NNI|||||F101A/GE1N/RLGHNCMOABC/RLGHNCMOQIL||CIENA NTE|N||
10.204.84.231/5|10.204.84.231/5|10.204.84.231/5|NFO-MOBILITYUNI|NTE|NTE|true|S|5||0||||||||||UNI|||9|08/KRFN/270190/NV|||CIENA NTE|Y||
10.204.83.189/9|10.204.83.189/9|10.204.83.189/9|NFO-MOBILITY|NTE|NTE|true|S|9||1||CRCYNVMAB69|JUNIPER MX SERIES|10.204.241.109|150.0.0.164||ge-1/0/0|||NNI|||||JU102/GE1N/CRCYNVMABD7/CRCYNVMAB69||CIENA NTE|Y||4092
10.204.161.12/25|10.204.161.12/25|10.204.161.12/25|NFO-MOBILITY|NTE|NTE|true|B|25||1||CRCYNVMAD01|JUNIPER MX SERIES|10.204.242.115|149.0.3.196||ge-5/0/3|||NNI|||||S101D/GE1N/CRCYNVMAD01/STAGFLMAKN1||CIENA NTE|N||4092
