@rel(Composed_Of)
@from(PE_Device)key|@to(PE_PPort)key
10.204.233.68|10.204.233.68/Gi0/2
10.204.250.141|10.204.250.141/Fa0/1
10.204.244.2|10.204.244.2/FastEthernet0/5
10.204.241.2|10.204.241.2/FastEthernet0/21
10.204.244.46|10.204.244.46/FastEthernet0/1
10.204.244.46|10.204.244.46/FastEthernet0/11
10.204.250.193|10.204.250.193/Fa0/1
10.204.244.4|10.204.244.4/FastEthernet0/8
10.204.250.219|10.204.250.219/Gi0/2
10.204.244.170|10.204.244.170/FastEthernet0/11
10.204.241.1|10.204.241.1/FastEthernet0/24
10.204.241.8|10.204.241.8/FastEthernet0/7
10.204.250.209|10.204.250.209/Gi0/2
12.123.110.20|12.123.110.20/GigabitEthernet0/0
10.204.250.252|10.204.250.252/Fa0/1
12.123.102.20|12.123.102.20/GigabitEthernet0/3/0
12.82.80.132|12.82.80.132/FastEthernet 0/0
10.204.241.2|10.204.241.2/FastEthernet0/8
10.204.241.51|10.204.241.51/FastEthernet0/13
12.123.105.100|12.123.105.100/5
10.204.241.8|10.204.241.8/FastEthernet0/15
10.204.250.130|10.204.250.130/Gi0/2
10.204.241.51|10.204.241.51/GigabitEthernet0/2
10.204.244.46|10.204.244.46/FastEthernet0/2
10.204.241.1|10.204.241.1/FastEthernet0/12
10.204.241.8|10.204.241.8/FastEthernet0/16
10.204.250.193|10.204.250.193/Gi0/2
10.204.241.11|10.204.241.11/FastEthernet0/5
10.204.244.235|10.204.244.235/FastEthernet0/10
10.204.250.126|10.204.250.126/Fa0/1
10.204.241.3|10.204.241.3/FastEthernet0/9
10.204.241.12|10.204.241.12/FastEthernet0/24
143.0.11.212|143.0.11.212/GigabitEthernet0/0/0
10.204.250.185|10.204.250.185/Fa0/1
12.123.110.20|12.123.110.20/5
192.168.114.132|192.168.114.132/GigabitEthernet0/0
10.204.241.3|10.204.241.3/FastEthernet0/23
10.204.233.99|10.204.233.99/Gi0/2
10.204.250.243|10.204.250.243/Gi0/2
10.204.244.197|10.204.244.197/FastEthernet0/14
192.168.114.108|192.168.114.108/5
10.204.244.235|10.204.244.235/FastEthernet0/21
10.204.244.170|10.204.244.170/GigabitEthernet0/2
10.204.242.50|10.204.242.50/FastEthernet0/15
10.204.244.2|10.204.244.2/FastEthernet0/8
12.82.82.132|12.82.82.132/FastEthernet 0/0
10.204.244.4|10.204.244.4/FastEthernet0/2
12.123.105.156|12.123.105.156/GigabitEthernet0/2
12.82.126.148|12.82.126.148/FastEthernet 0/0
10.204.244.235|10.204.244.235/FastEthernet0/19
10.204.241.2|10.204.241.2/FastEthernet0/9
10.204.241.51|10.204.241.51/FastEthernet0/8
12.123.117.36|12.123.117.36/GigabitEthernet0/0
10.204.233.104|10.204.233.104/Gi0/2
10.204.244.131|10.204.244.131/FastEthernet0/3
10.204.244.131|10.204.244.131/FastEthernet0/10
10.204.244.197|10.204.244.197/FastEthernet0/12
12.82.118.236|12.82.118.236/FastEthernet 0/0
10.204.244.131|10.204.244.131/FastEthernet0/22
10.204.250.92|10.204.250.92/Fa0/1
10.204.244.2|10.204.244.2/FastEthernet0/18
10.204.250.148|10.204.250.148/Fa0/1
10.204.241.11|10.204.241.11/FastEthernet0/7
10.204.244.4|10.204.244.4/FastEthernet0/21
148.0.11.52|148.0.11.52/GigabitEthernet0/0
10.204.241.11|10.204.241.11/FastEthernet0/6
10.204.244.2|10.204.244.2/FastEthernet0/11
10.204.241.3|10.204.241.3/FastEthernet0/18
10.204.244.197|10.204.244.197/FastEthernet0/2
12.123.110.4|12.123.110.4/5
10.204.250.117|10.204.250.117/Fa0/1
10.204.242.50|10.204.242.50/FastEthernet0/14
12.123.110.12|12.123.110.12/5
10.204.250.94|10.204.250.94/Gi0/2
10.204.242.50|10.204.242.50/FastEthernet0/12
10.204.244.248|10.204.244.248/FastEthernet0/9
10.204.242.50|10.204.242.50/FastEthernet0/24
12.123.118.108|12.123.118.108/GigabitEthernet0/3/0
10.204.244.4|10.204.244.4/FastEthernet0/7
12.82.76.36|12.82.76.36/FastEthernet 0/0
12.82.86.132|12.82.86.132/FastEthernet 0/0
10.204.241.2|10.204.241.2/FastEthernet0/4
10.204.241.51|10.204.241.51/FastEthernet0/7
10.204.250.139|10.204.250.139/Gi0/2
192.168.114.140|192.168.114.140/GigabitEthernet0/1
10.204.244.46|10.204.244.46/FastEthernet0/16
12.82.124.164|12.82.124.164/FastEthernet 0/0
10.204.233.69|10.204.233.69/Gi0/2
10.204.241.1|10.204.241.1/FastEthernet0/3
12.123.105.76|12.123.105.76/GigabitEthernet0/1
192.168.114.140|192.168.114.140/GigabitEthernet0/0
12.123.106.76|12.123.106.76/GigabitEthernet0/0
10.204.250.202|10.204.250.202/Gi0/2
12.82.68.212|12.82.68.212/FastEthernet 0/0
10.204.241.3|10.204.241.3/FastEthernet0/4
12.123.110.12|12.123.110.12/GigabitEthernet0/0
192.168.114.110|192.168.114.110/GigabitEthernet0/1
12.82.102.132|12.82.102.132/FastEthernet 0/0
10.204.241.51|10.204.241.51/FastEthernet0/21
10.204.250.29|10.204.250.29/Gi0/2
12.123.118.108|12.123.118.108/GigabitEthernet0/1
10.204.250.250|10.204.250.250/Gi0/2
10.204.250.237|10.204.250.237/Fa0/1
10.204.244.2|10.204.244.2/FastEthernet0/10
10.204.241.8|10.204.241.8/FastEthernet0/20
10.204.244.46|10.204.244.46/FastEthernet0/17
12.123.105.156|12.123.105.156/GigabitEthernet0/1
10.204.244.170|10.204.244.170/FastEthernet0/16
148.0.15.148|148.0.15.148/GigabitEthernet0/1/0
12.82.102.92|12.82.102.92/FastEthernet 0/0
10.204.242.50|10.204.242.50/FastEthernet0/7
10.204.250.207|10.204.250.207/Gi0/2
10.204.250.254|10.204.250.254/Fa0/1
10.204.244.170|10.204.244.170/FastEthernet0/13
12.82.126.84|12.82.126.84/FastEthernet 0/0
10.204.241.11|10.204.241.11/FastEthernet0/12
10.204.241.11|10.204.241.11/FastEthernet0/18
12.82.56.172|12.82.56.172/FastEthernet 0/0
12.82.47.140|12.82.47.140/FastEthernet 0/0
10.204.244.248|10.204.244.248/FastEthernet0/21
10.204.250.126|10.204.250.126/Gi0/2
10.204.244.248|10.204.244.248/FastEthernet0/22
10.204.242.50|10.204.242.50/FastEthernet0/1
10.204.250.23|10.204.250.23/Fa0/1
10.204.241.0|10.204.241.0/FastEthernet0/1
12.82.3.228|12.82.3.228/FastEthernet 0/0
12.82.7.4|12.82.7.4/FastEthernet 0/0
12.82.60.68|12.82.60.68/FastEthernet 0/0
12.82.127.84|12.82.127.84/FastEthernet 0/0
10.204.241.51|10.204.241.51/FastEthernet0/18
12.82.110.140|12.82.110.140/FastEthernet 0/0
10.204.244.197|10.204.244.197/FastEthernet0/18
10.204.244.170|10.204.244.170/FastEthernet0/20
10.204.241.0|10.204.241.0/FastEthernet0/8
10.204.244.46|10.204.244.46/FastEthernet0/4
10.204.241.88|10.204.241.88/FastEthernet0/4
10.204.241.51|10.204.241.51/FastEthernet0/2
10.204.241.51|10.204.241.51/FastEthernet0/12
10.204.244.235|10.204.244.235/FastEthernet0/20
10.204.244.170|10.204.244.170/FastEthernet0/17
10.204.242.50|10.204.242.50/FastEthernet0/21
12.123.109.180|12.123.109.180/GigabitEthernet0/1
10.204.241.2|10.204.241.2/FastEthernet0/5
192.168.114.92|192.168.114.92/GigabitEthernet0/1/0
10.204.244.131|10.204.244.131/FastEthernet0/15
10.204.233.111|10.204.233.111/Gi0/2
12.82.118.196|12.82.118.196/FastEthernet 0/0
10.204.250.105|10.204.250.105/Fa0/1
10.204.244.197|10.204.244.197/FastEthernet0/16
10.204.244.2|10.204.244.2/FastEthernet0/17
10.204.242.50|10.204.242.50/FastEthernet0/8
