@rel(Associated_To)
@from(EVC)key|@to(EVCNode)key
VPLS:114537|12.82.24.44/VPLS:114537
VPLS:145294|12.82.16.68/VPLS:145294
VPLS:150847|12.82.40.91/VPLS:150847
VPWS:164149|12.82.32.78/VPWS:164149
VPWS:79367|12.82.80.15/VPWS:79367
VPWS:162810|12.82.16.57/VPWS:162810
VPWS:160598|12.82.86.28/VPWS:160598
VPWS:107412|12.82.74.26/VPWS:107412
VPLS:59776|12.82.0.73/VPLS:59776
VPLS:147728|12.82.70.31/VPLS:147728
VPLS:119148|12.82.40.110/VPLS:119148
VPWS:164735|12.82.0.46/VPWS:164735
VPWS:76719|12.82.80.25/VPWS:76719
VPWS:93714|12.82.80.21/VPWS:93714
VPWS:130002|12.82.64.22/VPWS:130002
VPWS:134157|12.82.90.26/VPWS:134157
VPLS:25920|10.204.9.98/VPLS:25920
VPWS:117286|12.82.76.21/VPWS:117286
21326:91694:675422|165.87.100.204/21326:91694:675422
VPLS:169629|12.82.104.16/VPLS:169629
VPLS:181990|12.82.114.10/VPLS:181990
VPLS:128881|12.82.24.47/VPLS:128881
VPWS:65540|12.82.90.15/VPWS:65540
VPLS:64851|12.82.114.10/VPLS:64851
VPLS:183670|12.82.146.5/VPLS:183670
VPWS:174238|12.82.64.10/VPWS:174238
VPWS:124121|12.82.8.77/VPWS:124121
VPLS:182322|12.82.0.76/VPLS:182322
VPWS:133482|12.82.90.10/VPWS:133482
VPWS:180736|12.82.118.25/VPWS:180736
VPWS:120368|12.82.82.24/VPWS:120368
VPLS:118524|12.82.127.129/VPLS:118524
VPLS:63869|12.82.40.79/VPLS:63869
VPLS:118299|12.82.68.1/VPLS:118299
13979:8936|12.122.215.1/13979:8936
VPWS:151606|12.82.104.6/VPWS:151606
VPWS:139661|12.82.56.1/VPWS:139661
VPLS:108993|12.82.40.111/VPLS:108993
VPLS:139905|12.82.78.1/VPLS:139905
21302:31693|32.119.208.124/21302:31693
VPWS:149128|12.82.74.24/VPWS:149128
VPWS:100152|12.82.80.14/VPWS:100152
VPLS:114925|12.82.102.22/VPLS:114925
VPLS:108706|12.82.92.4/VPLS:108706
VPLS:114653|12.82.96.20/VPLS:114653
VPLS:105843|1.2.3.4/VPLS:105843
VPWS:115702|12.82.72.18/VPWS:115702
VPLS:91418|12.82.100.16/VPLS:91418
VPWS:101597|12.82.82.16/VPWS:101597
VPWS:119032|12.82.24.54/VPWS:119032
VPWS:86167|12.82.100.20/VPWS:86167
VPWS:180807|12.82.32.75/VPWS:180807
VPWS:155067|12.82.80.21/VPWS:155067
VPWS:119060|12.82.8.60/VPWS:119060
VPWS:187884|100.1.0.30/VPWS:187884
VPWS:115251|12.82.88.27/VPWS:115251
VPWS:179833|12.82.16.40/VPWS:179833
VPWS:83960|12.82.80.24/VPWS:83960
VPWS:88304|12.82.40.97/VPWS:88304
VPWS:150326|12.82.40.108/VPWS:150326
VPLS:56901|12.82.0.55/VPLS:56901
VPLS:131779|12.82.76.24/VPLS:131779
VPLS:63239|12.82.60.19/VPLS:63239
VPWS:66566|12.82.0.46/VPWS:66566
VPLS:130118|12.82.116.2/VPLS:130118
VPWS:147515|12.82.0.72/VPWS:147515
VPWS:141448|12.82.104.28/VPWS:141448
VPWS:139017|12.82.118.16/VPWS:139017
VPLS:109635|12.82.78.1/VPLS:109635
VPLS:164827|12.82.0.3/VPLS:164827
VPWS:162898|12.82.60.19/VPWS:162898
21302:33409|32.120.129.124/21302:33409
VPLS:178855|12.82.96.2/VPLS:178855
VPWS:24072|10.144.0.137/VPWS:24072
VPLS:52179|12.82.0.53/VPLS:52179
VPLS:97564|12.82.86.23/VPLS:97564
VPLS:74903|12.82.76.27/VPLS:74903
VPWS:113650|12.82.66.23/VPWS:113650
VPWS:133124|12.82.0.69/VPWS:133124
VPLS:154362|12.82.92.30/VPLS:154362
VPWS:88396|12.82.40.97/VPWS:88396
VPLS:107878|1.2.3.4/VPLS:107878
VPWS:102261|12.82.56.2/VPWS:102261
VPWS:165225|12.82.24.50/VPWS:165225
VPWS:157579|12.82.0.73/VPWS:157579
VPWS:121552|12.82.76.22/VPWS:121552
VPWS:126354|12.82.76.27/VPWS:126354
VPWS:93955|12.82.56.3/VPWS:93955
VPWS:148714|12.82.40.133/VPWS:148714
VPWS:99793|12.82.104.16/VPWS:99793
VPLS:141644|12.82.0.73/VPLS:141644
VPWS:48826|12.82.16.100/VPWS:48826
VPLS:178534|12.82.66.26/VPLS:178534
VPWS:120200|12.82.114.15/VPWS:120200
VPWS:154715|12.82.0.45/VPWS:154715
VPLS:138004|12.82.110.13/VPLS:138004
VPWS:104034|12.82.40.94/VPWS:104034
VPLS:140665|12.82.40.110/VPLS:140665
