@rel(PLink)
@from(PE_PPort)key|@to(CE_PPort)key
8.8.0.172/5/1/4|10.204.90.236/25
143.0.68.248/1/0/8|10.204.11.171/9
143.0.68.242/3/1/2|10.204.132.193/9
143.0.68.110/2/0/3|10.204.200.136/9
12.123.80.29/2/0/4|10.204.64.164/25
10.144.0.155/3/0/6|10.204.1.121/25
143.0.68.248/0/1/0|10.204.11.212/9
143.0.68.248/1/0/0|10.204.11.161/9
8.8.0.154/0/1/7|10.204.90.223/26
12.123.80.212/2/1/4|10.204.81.138/25
12.82.100.7/5/1/1|10.204.160.103/25
143.0.68.248/0/0/5|10.204.10.184/9
12.82.0.53/5/0/9|10.204.200.148/25
150.0.0.168/5/2/0|10.204.83.227/9
150.0.0.23/4/0/3|10.204.81.200/25
10.144.0.137/1/0/8|10.204.66.255/9
143.0.68.248/1/3/6|10.204.11.222/24
12.123.80.27/1/1/8|10.204.80.97/25
143.0.68.242/3/0/0|10.204.132.166/9
10.144.0.137/5/2/2|192.168.113.73/25
143.0.68.175/0/0/3|10.204.11.107/11
149.0.3.196/5/0/3|10.204.161.12/25
143.0.68.184/0/0/5|10.204.10.114/9
149.9.0.6/1/0/0|10.204.9.67/10
150.0.0.46/2/0/0|10.204.8.79/25
150.0.0.233/5/0/0|10.204.83.168/9
10.144.0.137/2/0/4|10.204.67.119/10
149.0.3.222/5/0/5|10.204.9.189/9
150.0.0.168/2/0/7|10.204.83.113/9
12.123.80.29/1/0/1|10.204.64.166/SM-A/1
12.123.80.212/1/0/9|10.204.81.13/25
143.0.68.170/2/0/4|10.204.11.33/9
10.144.0.155/1/0/2|10.204.1.66/10
12.80.72.33/0/0/2|10.204.200.221/28
10.144.0.147/3/0/4|10.204.67.196/10
143.0.68.242/3/2/6|10.204.144.77/0
143.0.68.184/0/0/0|10.204.10.104/9
12.82.0.53/2/0/4|10.204.200.219/21
8.8.0.154/2/0/1|10.204.90.220/22
143.0.68.99/4/0/2|10.204.9.174/9
143.0.68.184/0/2/7|10.204.11.142/21
10.144.0.155/1/0/0|10.204.1.75/9
149.0.3.222/5/2/2|10.204.9.212/9
149.0.3.196/5/0/6|10.204.85.40/9
143.0.68.248/0/2/0|10.204.11.237/9
149.0.3.196/0/0/7|10.204.84.242/25
8.8.0.172/5/0/7|10.204.90.188/25
149.0.3.222/3/0/0|10.204.67.164/10
143.0.68.175/0/3/3|10.204.10.221/12
12.82.0.53/3/0/2|10.204.200.218/25
12.82.0.53/5/0/6|10.204.200.101/28
143.0.68.241/4/0/1|10.204.132.79/9
12.80.84.29/3/0/7|10.204.6.74/25
12.123.80.214/2/1/2|10.204.81.36/26
143.0.68.34/1/0/5|10.204.83.217/SM-B/1
150.0.0.217/0/0/0|10.204.83.112/9
143.0.68.170/4/0/2|10.204.11.56/9
143.0.68.248/1/1/3|10.204.11.182/9
150.0.0.168/2/0/4|10.204.83.104/9
149.9.0.29/5/0/0|10.204.9.95/22
149.0.3.198/3/0/0|10.204.84.250/22
143.0.24.130/4/0/0|10.204.235.193/22
150.0.0.168/5/1/1|10.204.83.159/9
143.0.68.172/0/0/4|10.204.10.86/10
12.80.4.13/1/0/1|10.204.160.100/SM-A/1
150.0.0.216/1/0/0|10.204.83.130/22
12.123.80.212/2/0/6|10.204.81.40/25
12.123.80.133/2/0/2|10.204.66.85/25
10.144.0.155/1/3/1|192.168.113.86/25
10.144.0.137/1/1/4|10.204.66.254/9
12.82.0.62/3/0/9|10.204.200.112/22
149.0.3.222/2/0/4|10.204.10.16/9
143.0.68.240/2/0/5|10.204.132.140/9
12.123.80.143/0/0/3|10.204.65.40/26
143.0.68.248/0/1/8|10.204.11.243/9
143.0.68.72/1/0/0|10.204.136.101/21
143.0.68.170/0/0/3|10.204.10.63/9
10.144.0.154/2/2/6|192.168.113.230/SM-A/1
143.0.68.170/1/0/9|10.204.10.200/23
149.0.3.216/0/0/3|10.204.85.96/9
149.0.3.222/2/0/7|10.204.10.20/9
150.0.0.212/0/0/8|10.204.83.97/SM-B/2
12.123.80.212/2/0/1|10.204.81.5/25
12.82.100.7/4/0/3|10.204.160.82/21
12.123.80.29/1/0/7|10.204.64.180/SM-B/1
143.0.68.170/1/0/0|10.204.10.71/9
149.0.3.222/3/0/2|10.204.85.84/9
143.0.68.248/1/3/0|10.204.11.229/21
12.123.80.15/0/0/7|10.204.80.236/25
12.123.80.214/2/0/2|10.204.81.9/25
12.123.80.214/0/1/0|10.204.81.106/25
143.0.68.172/3/0/1|10.204.10.156/9
149.0.3.196/5/0/7|10.204.85.51/9
143.0.68.240/2/0/9|10.204.132.147/9
143.0.68.248/1/0/6|10.204.11.166/9
10.144.0.137/4/0/1|10.204.32.81/10
10.144.0.154/3/1/3|10.204.1.115/9
8.8.0.172/5/1/1|10.204.90.192/25
12.80.72.65/0/0/9|10.204.200.233/27
8.8.0.190/0/0/1|10.204.90.162/SM-B/1
143.0.68.72/4/0/2|10.204.161.8/22
12.123.80.197/0/0/3|10.204.65.141/25
8.8.0.154/0/1/0|10.204.90.180/25
143.0.68.241/4/1/2|10.204.132.130/23
143.0.68.184/0/0/7|10.204.10.126/9
143.0.68.242/4/0/6|10.204.132.233/0
8.8.0.190/0/0/0|10.204.90.163/SM-B/2
10.144.0.137/2/3/7|10.204.67.129/9
143.0.68.170/4/0/6|10.204.11.87/9
10.144.0.147/1/2/0|192.168.113.47/10
143.0.68.170/4/0/8|10.204.11.94/9
149.0.3.128/4/0/0|10.204.9.63/25
12.123.80.197/1/1/5|10.204.65.117/26
12.123.80.27/0/0/0|10.204.80.176/25
143.0.68.173/0/0/0|10.204.11.103/22
12.80.72.33/0/0/0|10.204.200.190/25
143.0.68.169/1/0/3|10.204.10.62/9
12.123.80.212/0/0/3|10.204.80.201/25
12.123.80.214/4/1/7|10.204.81.125/26
143.0.68.242/3/2/4|10.204.144.68/SM-B/1
8.8.0.154/2/0/0|10.204.90.177/22
143.0.68.172/0/0/7|10.204.10.97/9
149.0.3.128/4/0/1|10.204.9.65/25
10.144.0.137/1/2/6|10.204.67.24/9
10.144.0.137/1/2/4|10.204.67.19/9
10.144.0.155/1/2/6|192.168.113.70/10
143.0.68.35/0/0/2|10.204.84.97/25
12.123.80.212/2/1/7|10.204.81.150/25
10.144.0.147/1/0/0|192.168.113.164/25
149.0.3.196/4/0/0|10.204.85.62/25
149.9.0.27/2/0/0|10.204.9.92/21
143.0.68.184/2/0/7|10.204.11.139/24
8.8.0.154/2/0/3|10.204.90.95/26
143.0.68.247/2/0/1|10.204.132.90/21
149.0.3.223/5/1/0|10.204.10.46/10
143.0.24.144/5/0/0|10.204.132.217/9
149.0.3.216/0/0/0|10.204.84.243/21
143.0.24.144/0/0/5|10.204.132.221/9
143.0.68.170/4/0/9|10.204.11.95/9
150.0.0.168/5/1/8|10.204.83.218/9
12.80.68.135/4/0/3|10.204.160.116/22
10.144.0.137/3/1/7|10.204.67.74/9
143.0.24.132/2/0/6|10.204.135.193/9
10.144.0.137/3/0/7|10.204.67.48/9
10.144.0.137/3/1/3|10.204.67.63/9
143.0.68.247/4/2/5|10.204.132.124/22
12.123.80.197/1/3/0|10.204.65.127/25
143.0.68.212/0/0/3|10.204.132.115/25
150.0.0.215/0/0/1|10.204.83.166/10
12.123.80.214/0/0/1|10.204.80.194/26
12.123.80.27/0/0/2|10.204.80.184/25
143.0.24.237/5/0/0|10.204.85.109/11
8.8.0.154/0/0/9|10.204.90.195/27
143.0.68.99/4/0/3|10.204.9.176/9
12.123.80.143/1/0/0|10.204.65.121/25
150.0.0.216/0/0/0|10.204.83.94/9
12.82.100.7/5/1/0|10.204.160.80/27
149.0.3.222/4/1/0|10.204.10.48/9
148.0.131.182/4/0/5|10.204.82.122/25
148.0.131.182/4/1/1|10.204.82.137/25
149.0.3.196/0/2/1|10.204.85.7/9
143.0.68.248/1/1/9|10.204.11.186/9
149.0.3.222/2/1/1|10.204.10.41/9
12.123.80.27/0/0/3|10.204.80.190/26
143.0.68.172/0/1/2|10.204.10.121/9
12.123.80.143/4/0/0|10.204.65.139/SM-B/1
150.0.0.215/1/0/4|10.204.83.172/9
143.0.68.168/1/0/2|10.204.10.230/9
149.0.3.194/3/0/0|10.204.85.76/24
143.0.68.170/4/0/7|10.204.11.64/9
149.0.3.222/1/0/4|10.204.9.226/9
12.123.80.214/1/0/7|10.204.81.0/25
149.0.3.222/5/1/9|10.204.67.160/9
10.144.0.137/3/1/2|10.204.67.60/9
143.0.68.184/0/0/2|10.204.10.102/9
143.0.68.170/4/1/2|10.204.11.90/9
149.0.3.195/5/1/0|10.204.9.230/11
149.0.3.196/0/1/6|10.204.85.1/9
149.0.3.222/1/0/2|10.204.9.222/9
149.0.3.222/4/0/0|10.204.10.34/22
143.0.68.72/1/0/3|10.204.161.8/23
12.82.0.62/1/0/5|10.204.200.14/23
149.0.3.196/5/0/8|10.204.85.54/9
143.0.68.170/0/0/7|10.204.11.108/9
8.8.0.154/0/0/3|10.204.90.123/25
8.8.0.154/0/0/7|10.204.90.167/25
