@ref(networkElement)|@const(IpagPPort)class
@index(CE_PPort)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|aafda_role|acnaban|assoc_nni_pport|clci|clfi|diverse_circuit_id|device_type|ineffect|mpa_connect_type|nmvlan|port_aid|port_ipaddr|port_num|remote_device_name|remote_device_type|remote_device_ipaddr|remote_deviceloopbackip|remote_slot_name|remote_port_aid|slavlan|cdnbind|uni_nni
10.204.81.199/28|10.204.81.199/28|10.204.81.199/28|NTE-CFO|IPAG|NTE|true|S|||25|09/KRFN/270185/NV|||CIENA NTE|Y|||28||0|||||||||UNI
10.204.67.185/5|10.204.67.185/5|10.204.67.185/5|NFO-MOBILITYUNI|NTE|NTE|true|B|||9|98/KRFN/239753/SG|||CIENA NTE|Y|||5||0|||||||||UNI
10.204.160.95/SM-A/2|10.204.160.95/SM-A/2|10.204.160.95/SM-A/2|NFO-TA5000|TA5000|NTE|true|B|||||D102F/GE1N/RLGHNCMOA01/RLGHNCMOI01||ADTRAN 5000 SERIES||||2||0|RLGHNCMOI01|JUNIPER MX SERIES|10.204.246.159|12.80.4.13||ge-0/0/0|||NNI
10.204.90.176/25|10.204.90.176/25|10.204.90.176/25|NFO-MOBILITY|NTE|NTE|true|S|||||K101M/GE1N/CRCYNVAAL9V/CRCYNVAA5D5||CIENA NTE|N|||25||0|CRCYNVAA5D5|JUNIPER MX SERIES|12.81.161.220|8.8.0.205||ge-1/0/9|||NNI
135.16.243.4/28|135.16.243.4/28|135.16.243.4/28|NTE-CFO|IPAG|NTE|true|S|||25|86/KRGN/506144/PT|||CIENA NTE|Y|||28||0|||||||||UNI
10.204.9.157/1|10.204.9.157/1|10.204.9.157/1|NFO-MOBILITYUNI|NTE|NTE|true|B|DA||11|09/KRFN/270190/SB||10/KRFN/270190/SB|CIENA NTE|Y|||1||0|||||||||UNI
10.204.81.43/25|10.204.81.43/25|10.204.81.43/25|NFO-MOBILITY|NTE|NTE|true|S|AAF-PRIMARY||||101/GE1N/SNJSCAHUK12/SNJSCAHUTJ6|101/GE1N/SNJSCAHUK12/SNJSCAHUDK3|CIENA NTE|Y||4092|25||1|SNJSCAHUTJ6|JUNIPER MX SERIES|12.122.123.17|149.8.0.17||ge-1/0/2|||NNI
10.204.9.64/25|10.204.9.64/25|10.204.9.64/25|NFO-MOBILITY|NTE|NTE|true|B|DA||||JU102/GE1N/DYBHFLMAH71/DYBHFLMAWAM|JU101/GE1N/DYBHFLMAH71/DYBHFLMAWAN|CIENA NTE|Y||4092|25||1|DYBHFLMAH71|JUNIPER MX SERIES|10.204.242.32|149.0.3.128||ge-5/0/0|||NNI
135.16.243.66/3|135.16.243.66/3|135.16.243.66/3|NTE-CFO|IPAG|NTE|true|B|||9|10/KQGN/130213/SB|||CIENA NTE|Y|||3||0|||||||||UNI
10.204.65.132/25|10.204.65.132/25|10.204.65.132/25|NFO-MOBILITY|NTE|NTE|true|B|||||S101P/GE1N/ORLDFL32K59/ORLDFL32N32||CIENA NTE|N|||25||1|ORLDFL32K59|JUNIPER MX SERIES|12.122.122.240|12.123.80.202||ge-0/0/1|||NNI
10.204.85.19/9|10.204.85.19/9|10.204.85.19/9|NFO-MOBILITY|NTE|NTE|true|S|||||JU101/GE1N/CRCYNVMADS1/CRCYNVMAD01||CIENA NTE|Y||4092|9||1|CRCYNVMAD01|JUNIPER MX SERIES|10.204.242.115|149.0.3.196||ge-5/0/2|||NNI
10.204.160.114/22|10.204.160.114/22|10.204.160.114/22|NFO-EMUX|EMUX|NTE|true|B|||||S104G/GE1N/RLGHNCMOW2K/RLGHNCMOW7K||CIENA EMUX||||22||1|RLGHNCMOW2K|JUNIPER MX SERIES|10.204.246.197|12.80.68.135||ge-4/0/2|||NNI
10.204.84.125/28|10.204.84.125/28|10.204.84.125/28|NFO-MOBILITYUNI|NTE|NTE|true|S|||25|99/KRFN/290100/NV|||CIENA NTE|Y|||28||0|||||||||UNI
10.204.12.13/5|10.204.12.13/5|10.204.12.13/5|NTE-CFO|IPAG|NTE|true|B|||9|04/KRFN/564654/RB|||CIENA NTE|Y|||5||0|||||||||UNI
10.204.83.167/10|10.204.83.167/10|10.204.83.167/10|NFO-MOBILITY|NTE|NTE|true|S|AAF-SECONDARY||||JU101/GE1N/CRCYNVMAL02/CRCYNVMAL15|JU101/GE1N/CRCYNVMAL01/CRCYNVMAL15|CIENA NTE|Y||4092|10||1|CRCYNVMAL02|JUNIPER MX SERIES|10.204.242.12|150.0.0.233||ge-0/0/0|||NNI
10.204.84.243/23|10.204.84.243/23|10.204.84.243/23|NFO-EMUX|EMUX|NTE|true|S|||||103/GE1N/CRCYNVMAD05/CRCYNVMAD79||CIENA EMUX||||23||1|CRCYNVMAD05|JUNIPER MX SERIES|10.204.242.137|149.0.3.216||ge-0/0/1|||NNI
10.204.200.242/25|10.204.200.242/25|10.204.200.242/25|NFO-MOBILITY|NTE|NTE|true|B|||||L101G/GE1N/RLGHNCMAKQ1/RLGHNCMAPL2||CIENA NTE|N|||25||1|RLGHNCMAKQ1|JUNIPER MX SERIES|10.204.247.66|12.80.72.65||ge-2/0/3|||NNI
10.204.81.199/26|10.204.81.199/26|10.204.81.199/26|NFO-MOBILITY|NTE|NTE|true|S|AAF-SECONDARY||||JU105/GE1N/CRCYNVAA04T/CRCYNVAA15T|JU105/GE1N/CRCYNVAA03T/CRCYNVAA15T|CIENA NTE|Y||4092|26||1|CRCYNVAA04T|JUNIPER MX SERIES|12.122.123.82|150.0.0.29||ge-4/0/0|||NNI
10.204.160.82/22|10.204.160.82/22|10.204.160.82/22|NFO-EMUX|EMUX|NTE|true|B|||||S101G/GE1N/RLGHNCMOPS1/RLGHNCMOPS4||CIENA EMUX||||22||1|RLGHNCMOPS1|JUNIPER MX SERIES|10.204.246.124|12.82.100.7||ge-5/0/5|||NNI
10.204.90.108/1|10.204.90.108/1|10.204.90.108/1|NTE-CFO|IPAG|NTE|true|S|||25|12/ASDF/233445/US|||CIENA NTE|Y|||1||1|||||||||UNI
10.204.81.199/25|10.204.81.199/25|10.204.81.199/25|NFO-MOBILITY|NTE|NTE|true|S|AAF-PRIMARY||||JU105/GE1N/CRCYNVAA03T/CRCYNVAA15T|JU105/GE1N/CRCYNVAA04T/CRCYNVAA15T|CIENA NTE|Y||4092|25||1|CRCYNVAA03T|JUNIPER MX SERIES|12.122.123.71|150.0.0.23||ge-4/0/0|||NNI
10.204.9.93/25|10.204.9.93/25|10.204.9.93/25|NFO-MOBILITY|NTE|NTE|true|B|||||JU101/GE1N/DYBHFLMAH72/DYBHFLMAWAA||CIENA NTE|Y||4092|25||1|DYBHFLMAH72|JUNIPER MX SERIES|10.204.242.46|149.9.0.29||ge-0/0/1|||NNI
10.204.9.64/28|10.204.9.64/28|10.204.9.64/28|NTE-CFO|IPAG|NTE|true|B|DA||25|56/KRGN/700010/SB||56/KRGN/700009/SB|CIENA NTE|Y|||28||0|||||||||UNI
