@rel(Composed_Of)
@from(PE_Device)key|@to(PE_Slot)key
10.0.38.96|10.0.38.96/1
143.0.68.230|143.0.68.230/9
10.0.40.4|10.0.40.4/10
12.123.80.167|12.123.80.167/3
12.80.72.93|12.80.72.93/0
10.0.36.21|10.0.36.21/7
143.0.24.71|143.0.24.71/0
149.9.0.6|149.9.0.6/0
12.80.0.207|12.80.0.207/2
12.80.4.15|12.80.4.15/2
150.0.0.89|150.0.0.89/2
10.0.40.42|10.0.40.42/2
150.0.0.161|150.0.0.161/0
143.0.68.254|143.0.68.254/1
10.0.38.121|10.0.38.121/3
12.80.72.108|12.80.72.108/0
10.144.0.137|10.144.0.137/5
12.122.72.115|12.122.72.115/4
143.0.68.205|143.0.68.205/2
143.0.24.205|143.0.24.205/1
10.0.32.65|10.0.32.65/8
10.0.40.4|10.0.40.4/6
150.0.0.217|150.0.0.217/0
143.0.68.64|143.0.68.64/0
149.8.0.130|149.8.0.130/1
10.0.38.10|10.0.38.10/0
12.80.0.212|12.80.0.212/2
10.0.36.76|10.0.36.76/3
143.0.68.227|143.0.68.227/2
148.0.131.182|148.0.131.182/0
150.0.0.221|150.0.0.221/0
149.8.0.30|149.8.0.30/0
150.0.0.52|150.0.0.52/0
149.0.3.231|149.0.3.231/2
149.9.0.6|149.9.0.6/2
8.8.0.154|8.8.0.154/0
10.0.36.76|10.0.36.76/1
143.0.68.246|143.0.68.246/1
148.0.131.235|148.0.131.235/5
10.0.40.35|10.0.40.35/1
149.0.3.135|149.0.3.135/0
10.0.40.1|10.0.40.1/3
143.1.140.2|143.1.140.2/4
143.0.68.68|143.0.68.68/1
10.144.0.122|10.144.0.122/4
12.123.80.142|12.123.80.142/3
10.204.76.1|10.204.76.1/0
149.9.0.25|149.9.0.25/0
10.0.32.64|10.0.32.64/9
8.8.0.188|8.8.0.188/1
148.0.131.237|148.0.131.237/5
149.0.3.194|149.0.3.194/1
10.0.40.33|10.0.40.33/0
12.123.80.142|12.123.80.142/0
12.80.84.26|12.80.84.26/3
12.80.72.27|12.80.72.27/1
10.0.36.6|10.0.36.6/0
143.0.68.242|143.0.68.242/0
10.0.34.15|10.0.34.15/6
12.80.68.129|12.80.68.129/1
12.123.80.85|12.123.80.85/0
10.0.36.73|10.0.36.73/4
143.0.24.162|143.0.24.162/3
150.0.0.170|150.0.0.170/2
12.123.80.166|12.123.80.166/1
12.82.78.30|12.82.78.30/1
10.0.34.15|10.0.34.15/8
150.0.0.230|150.0.0.230/0
143.0.24.111|143.0.24.111/5
143.1.192.48|143.1.192.48/3
143.0.68.212|143.0.68.212/0
10.144.0.65|10.144.0.65/5
10.144.0.61|10.144.0.61/1
150.0.0.73|150.0.0.73/0
10.0.36.23|10.0.36.23/5
12.80.72.46|12.80.72.46/0
12.80.72.109|12.80.72.109/3
10.0.8.122|10.0.8.122/3
12.123.80.201|12.123.80.201/5
150.0.0.172|150.0.0.172/0
12.123.68.1|12.123.68.1/3
143.0.24.58|143.0.24.58/3
149.0.3.200|149.0.3.200/0
12.80.68.135|12.80.68.135/3
149.8.0.22|149.8.0.22/0
143.0.24.196|143.0.24.196/5
72.44.12.29|72.44.12.29/4
12.123.80.198|12.123.80.198/4
143.0.68.245|143.0.68.245/6
10.0.38.73|10.0.38.73/1
8.8.0.238|8.8.0.238/5
12.80.72.28|12.80.72.28/1
10.0.8.124|10.0.8.124/6
149.0.3.213|149.0.3.213/0
10.0.40.6|10.0.40.6/6
12.123.80.53|12.123.80.53/0
10.0.40.7|10.0.40.7/2
12.123.80.117|12.123.80.117/1
12.122.72.112|12.122.72.112/1
12.123.80.143|12.123.80.143/4
12.80.72.39|12.80.72.39/2
12.80.72.23|12.80.72.23/3
12.80.72.16|12.80.72.16/3
10.0.40.15|10.0.40.15/0
149.0.3.222|149.0.3.222/3
10.0.40.10|10.0.40.10/1
10.0.40.7|10.0.40.7/0
10.0.36.74|10.0.36.74/3
149.0.3.195|149.0.3.195/5
143.0.68.230|143.0.68.230/2
143.0.68.173|143.0.68.173/1
143.0.68.169|143.0.68.169/2
143.0.24.113|143.0.24.113/1
10.204.76.1|10.204.76.1/5
10.144.0.114|10.144.0.114/1
12.80.72.131|12.80.72.131/5
72.44.12.28|72.44.12.28/2
12.123.80.181|12.123.80.181/2
149.4.28.1|149.4.28.1/1
10.0.36.73|10.0.36.73/6
10.0.36.21|10.0.36.21/0
12.123.80.169|12.123.80.169/2
8.8.0.177|8.8.0.177/3
149.4.64.14|149.4.64.14/0
149.4.64.1|149.4.64.1/4
143.0.68.228|143.0.68.228/3
12.123.80.125|12.123.80.125/3
143.0.68.71|143.0.68.71/1
10.0.36.6|10.0.36.6/11
143.0.24.148|143.0.24.148/4
12.80.84.11|12.80.84.11/1
150.0.0.140|150.0.0.140/0
149.9.0.22|149.9.0.22/1
143.0.68.229|143.0.68.229/1
10.0.36.78|10.0.36.78/8
150.0.0.4|150.0.0.4/1
10.144.0.115|10.144.0.115/11
10.144.0.138|10.144.0.138/0
10.144.0.114|10.144.0.114/0
143.0.24.198|143.0.24.198/2
10.0.38.70|10.0.38.70/0
148.0.131.153|148.0.131.153/2
10.0.8.122|10.0.8.122/2
148.0.131.219|148.0.131.219/0
8.8.0.201|8.8.0.201/1
8.8.0.217|8.8.0.217/0
149.4.24.1|149.4.24.1/0
12.122.72.167|12.122.72.167/1
10.0.32.64|10.0.32.64/3
88.33.55.4|88.33.55.4/3
10.0.40.42|10.0.40.42/0
8.8.0.245|8.8.0.245/5
143.0.68.230|143.0.68.230/5
143.0.68.119|143.0.68.119/0
12.123.80.92|12.123.80.92/5
10.0.38.56|10.0.38.56/1
12.80.72.107|12.80.72.107/0
12.123.80.143|12.123.80.143/2
143.0.68.206|143.0.68.206/0
12.123.80.151|12.123.80.151/5
143.0.24.57|143.0.24.57/9
10.0.36.6|10.0.36.6/7
149.0.3.215|149.0.3.215/0
143.0.68.22|143.0.68.22/2
12.123.80.219|12.123.80.219/0
143.0.68.247|143.0.68.247/3
149.8.0.161|149.8.0.161/5
12.123.80.104|12.123.80.104/0
143.0.68.218|143.0.68.218/1
8.8.0.169|8.8.0.169/4
10.0.40.35|10.0.40.35/3
143.0.68.119|143.0.68.119/1
10.0.36.17|10.0.36.17/9
10.0.38.53|10.0.38.53/0
192.168.43.18|192.168.43.18/4
149.4.64.1|149.4.64.1/3
143.0.24.231|143.0.24.231/0
12.123.80.29|12.123.80.29/1
143.0.24.8|143.0.24.8/0
10.0.38.134|10.0.38.134/3
10.0.40.6|10.0.40.6/8
143.0.68.205|143.0.68.205/0
143.0.68.145|143.0.68.145/0
10.0.32.65|10.0.32.65/4
10.0.40.6|10.0.40.6/9
143.0.24.43|143.0.24.43/0
149.4.64.9|149.4.64.9/11
143.0.68.243|143.0.68.243/7
150.0.0.59|150.0.0.59/3
10.0.36.72|10.0.36.72/0
8.8.0.172|8.8.0.172/5
10.0.36.76|10.0.36.76/11
12.123.80.14|12.123.80.14/1
143.0.24.103|143.0.24.103/1
8.8.0.154|8.8.0.154/3
150.0.0.176|150.0.0.176/5
143.0.68.174|143.0.68.174/0
149.4.64.6|149.4.64.6/1
150.0.0.229|150.0.0.229/0
149.9.0.29|149.9.0.29/0
12.80.72.52|12.80.72.52/0
149.8.0.128|149.8.0.128/8
12.123.80.15|12.123.80.15/5
148.0.131.233|148.0.131.233/0
12.80.72.76|12.80.72.76/0
12.123.68.6|12.123.68.6/7
12.80.84.10|12.80.84.10/0
10.0.36.75|10.0.36.75/0
12.123.80.127|12.123.80.127/5
143.0.24.103|143.0.24.103/0
143.0.24.159|143.0.24.159/5
10.0.36.18|10.0.36.18/0
143.0.68.209|143.0.68.209/0
143.0.68.72|143.0.68.72/0
12.123.80.214|12.123.80.214/2
10.0.40.32|10.0.40.32/4
10.0.36.76|10.0.36.76/4
12.122.72.112|12.122.72.112/2
12.80.72.119|12.80.72.119/0
