@rel(Composed_Of)
@from(PE_Card)key|@to(PE_PPort)key
12.82.24.65/10/2|12.82.24.65/10/2/7
12.82.96.6/4/0|12.82.96.6/4/0/2
12.82.82.22/2/1|12.82.82.22/2/1/0
172.30.142.2/7/1|172.30.142.2/7/1/2
12.82.118.9/9/0|12.82.118.9/9/0/4
12.82.76.26/2/2|12.82.76.26/2/2/3
12.82.125.5/4/0|12.82.125.5/4/0/9
12.82.114.22/10/2|12.82.114.22/10/2/3
12.82.8.10/4/3|12.82.8.10/4/3/4
12.82.110.5/1/2|12.82.110.5/1/2/3
12.122.122.51/3/1|12.122.122.51/3/1/2
12.82.76.25/3/0|12.82.76.25/3/0/8
12.82.76.24/9/0|12.82.76.24/9/0/6
12.82.82.25/2/3|12.82.82.25/2/3/4
12.122.125.235/4/1|12.122.125.235/4/1/0
12.82.66.30/9/2|12.82.66.30/9/2/5
12.82.127.197/0/0|12.82.127.197/0/0/2
12.82.78.1/9/0|12.82.78.1/9/0/7
12.82.90.19/9/0|12.82.90.19/9/0/0
12.82.16.70/1/1|12.82.16.70/1/1/1
12.82.96.20/5/3|12.82.96.20/5/3/1
12.82.16.78/3/0|12.82.16.78/3/0/0
135.16.241.28/4/1|135.16.241.28/4/1/5
12.82.127.2/10/2|12.82.127.2/10/2/6
12.82.127.2/3/2|12.82.127.2/3/2/0
12.82.148.11/3/1|12.82.148.11/3/1/5
12.82.126.192/8/0|12.82.126.192/8/0/2
12.122.126.114/4/1|12.122.126.114/4/1/0
12.82.104.28/5/0|12.82.104.28/5/0/9
12.83.165.16/0/0|12.83.165.16/0/0/0
12.82.90.11/2/0|12.82.90.11/2/0/8
12.82.8.58/2/0|12.82.8.58/2/0/6
12.123.80.214/4/0|12.123.80.214/4/0/6
12.82.24.52/5/3|12.82.24.52/5/3/0
12.83.164.24/0/1|12.83.164.24/0/1/0
12.82.114.14/2/0|12.82.114.14/2/0/0
12.122.215.64/4/3|12.122.215.64/4/3/0
12.122.122.100/0/2|12.122.122.100/0/2/0
12.82.109.3/0/2|12.82.109.3/0/2/0
12.82.32.96/3/2|12.82.32.96/3/2/5
12.82.0.58/3/2|12.82.0.58/3/2/1
12.82.114.4/3/3|12.82.114.4/3/3/8
12.82.154.8/0/0|12.82.154.8/0/0/0
12.82.124.64/3/3|12.82.124.64/3/3/1
12.82.24.1/8/2|12.82.24.1/8/2/0
12.83.165.9/4/0|12.83.165.9/4/0/0
172.30.174.7/7/1|172.30.174.7/7/1/9
12.82.55.3/2/1|12.82.55.3/2/1/9
12.82.120.136/1/3|12.82.120.136/1/3/0
12.122.122.211/3/3|12.122.122.211/3/3/8
12.122.122.217/3/0|12.122.122.217/3/0/1
149.0.3.128/4/0|149.0.3.128/4/0/2
143.0.24.231/0/0|143.0.24.231/0/0/0
172.30.128.23/7/1|172.30.128.23/7/1/6
12.82.49.192/3/3|12.82.49.192/3/3/7
12.82.0.93/8/0|12.82.0.93/8/0/1
12.82.78.1/3/1|12.82.78.1/3/1/0
12.82.124.129/4/3|12.82.124.129/4/3/5
12.82.126.192/8/1|12.82.126.192/8/1/5
12.82.66.1/10/0|12.82.66.1/10/0/5
12.82.76.23/3/0|12.82.76.23/3/0/5
12.82.118.18/2/0|12.82.118.18/2/0/4
12.82.100.2/2/1|12.82.100.2/2/1/5
12.82.144.20/3/1|12.82.144.20/3/1/8
172.30.178.2/7/1|172.30.178.2/7/1/3
12.82.70.27/2/2|12.82.70.27/2/2/4
12.82.0.78/1/1|12.82.0.78/1/1/0
12.82.117.28/0/2|12.82.117.28/0/2/0
12.82.118.24/11/3|12.82.118.24/11/3/0
12.82.24.44/9/1|12.82.24.44/9/1/5
12.122.125.10/1/3|12.122.125.10/1/3/0
12.82.102.23/1/0|12.82.102.23/1/0/0
12.82.0.86/2/0|12.82.0.86/2/0/7
12.82.94.18/2/0|12.82.94.18/2/0/4
165.87.245.71/5/2|165.87.245.71/5/2/0
12.122.215.28/4/1|12.122.215.28/4/1/0
12.82.102.28/8/3|12.82.102.28/8/3/1
12.82.80.24/3/2|12.82.80.24/3/2/8
12.82.114.4/4/2|12.82.114.4/4/2/3
12.82.0.80/2/3|12.82.0.80/2/3/0
12.122.122.88/9/0|12.122.122.88/9/0/0
12.122.120.184/4/2|12.122.120.184/4/2/0
12.82.16.78/4/3|12.82.16.78/4/3/2
12.122.122.52/11/0|12.122.122.52/11/0/0
12.82.76.24/9/1|12.82.76.24/9/1/1
12.82.8.71/3/2|12.82.8.71/3/2/2
12.82.63.2/5/2|12.82.63.2/5/2/4
12.82.78.12/5/0|12.82.78.12/5/0/4
12.82.118.1/3/3|12.82.118.1/3/3/3
12.82.24.1/10/1|12.82.24.1/10/1/3
12.83.164.144/6/0|12.83.164.144/6/0/0
12.82.100.8/10/3|12.82.100.8/10/3/1
12.82.0.63/3/0|12.82.0.63/3/0/8
12.82.82.22/2/2|12.82.82.22/2/2/2
12.82.104.20/3/3|12.82.104.20/3/3/7
172.30.140.3/7/3|172.30.140.3/7/3/9
12.82.0.83/3/0|12.82.0.83/3/0/6
12.82.144.21/3/2|12.82.144.21/3/2/2
12.82.98.19/2/0|12.82.98.19/2/0/0
12.82.8.63/2/2|12.82.8.63/2/2/3
12.82.74.29/2/0|12.82.74.29/2/0/9
12.82.80.19/4/2|12.82.80.19/4/2/1
12.82.40.93/4/0|12.82.40.93/4/0/4
12.82.70.27/5/2|12.82.70.27/5/2/3
12.82.82.27/3/1|12.82.82.27/3/1/5
12.82.125.135/0/3|12.82.125.135/0/3/1
12.82.120.134/0/2|12.82.120.134/0/2/3
12.82.78.12/9/0|12.82.78.12/9/0/5
12.83.165.16/0/2|12.83.165.16/0/2/0
12.82.127.129/9/1|12.82.127.129/9/1/7
12.82.70.27/2/3|12.82.70.27/2/3/7
12.82.114.4/9/2|12.82.114.4/9/2/5
12.83.165.231/5/0|12.83.165.231/5/0/0
12.82.49.196/1/0|12.82.49.196/1/0/3
143.0.68.110/2/0|143.0.68.110/2/0/4
12.122.215.10/3/3|12.122.215.10/3/3/0
12.82.86.23/5/0|12.82.86.23/5/0/6
12.122.122.102/3/0|12.122.122.102/3/0/9
12.82.56.7/5/0|12.82.56.7/5/0/5
32.119.202.249/5/2|32.119.202.249/5/2/0
12.83.165.153/0/0|12.83.165.153/0/0/1
12.122.122.97/2/0|12.122.122.97/2/0/0
12.82.24.74/9/1|12.82.24.74/9/1/2
12.122.122.25/4/3|12.122.122.25/4/3/0
12.82.94.15/2/1|12.82.94.15/2/1/3
12.83.165.179/6/0|12.83.165.179/6/0/4
12.83.164.8/0/3|12.83.164.8/0/3/3
12.82.24.30/2/0|12.82.24.30/2/0/5
12.82.124.65/10/2|12.82.124.65/10/2/0
165.87.65.88/2/3|165.87.65.88/2/3/0
12.82.24.30/2/0|12.82.24.30/2/0/8
12.82.80.31/3/2|12.82.80.31/3/2/6
12.122.122.216/3/0|12.122.122.216/3/0/0
12.82.48.65/10/1|12.82.48.65/10/1/1
12.82.94.13/2/0|12.82.94.13/2/0/0
172.30.152.2/7/3|172.30.152.2/7/3/0
12.82.104.24/2/0|12.82.104.24/2/0/4
143.0.24.155/2/2|143.0.24.155/2/2/0
172.30.164.2/7/1|172.30.164.2/7/1/3
12.82.92.17/2/0|12.82.92.17/2/0/7
12.122.122.163/7/0|12.122.122.163/7/0/2
143.0.68.68/0/0|143.0.68.68/0/0/9
12.122.125.231/2/3|12.122.125.231/2/3/0
12.82.114.5/2/2|12.82.114.5/2/2/2
