@rel(Composed_Of)
@from(PE_PPort)key|@to(PE_LPort)key
72.44.12.28/0/1/9|72.44.12.28/0/1/9/1
143.0.68.229/1/0/5|143.0.68.229/1/0/5/21
10.0.8.124/4/1/9|10.0.8.124/4/1/9/6
12.123.80.56/1/0/3|12.123.80.56/1/0/3/11
150.0.0.168/5/1/6|150.0.0.168/5/1/6/6052
8.8.0.219/1/0/6|8.8.0.219/1/0/6/9
10.0.36.3/1/1/3|10.0.36.3/1/1/3/2
149.9.0.29/0/0/1|149.9.0.29/0/0/1/6002
10.144.0.61/9/0/1|10.144.0.61/9/0/1/1
12.123.68.4/3/1/2|12.123.68.4/3/1/2/0
149.0.3.196/0/1/7|149.0.3.196/0/1/7/83
12.123.80.46/1/0/5|12.123.80.46/1/0/5/6006
12.122.72.115/1/1/0|12.122.72.115/1/1/0/5
10.144.0.62/9/0/9|10.144.0.62/9/0/9/0
143.0.68.172/0/1/0|143.0.68.172/0/1/0/50
10.0.40.7/0/1/6|10.0.40.7/0/1/6/0
10.0.36.21/2/0/4|10.0.36.21/2/0/4/0
143.0.68.242/3/0/3|143.0.68.242/3/0/3/6003
143.0.68.242/5/0/0|143.0.68.242/5/0/0/6015
12.122.72.129/1/0/1|12.122.72.129/1/0/1/1
8.8.0.154/0/1/8|8.8.0.154/0/1/8/125
10.0.8.124/4/0/2|10.0.8.124/4/0/2/1
12.123.80.214/4/1/9|12.123.80.214/4/1/9/6004
12.122.72.115/1/0/6|12.122.72.115/1/0/6/10
12.80.0.208/9/0/0|12.80.0.208/9/0/0/45
10.0.36.73/8/0/0|10.0.36.73/8/0/0/0
10.0.36.73/1/2/3|10.0.36.73/1/2/3/1
143.0.68.51/2/1/0|143.0.68.51/2/1/0/90
143.0.68.134/0/0/0|143.0.68.134/0/0/0/5
10.0.36.73/4/0/0|10.0.36.73/4/0/0/0
12.123.80.27/1/2/1|12.123.80.27/1/2/1/120
143.0.24.6/0/0/4|143.0.24.6/0/0/4/17
10.0.36.78/3/1/2|10.0.36.78/3/1/2/3
10.0.36.77/0/0/3|10.0.36.77/0/0/3/1
10.144.0.137/1/0/2|10.144.0.137/1/0/2/6027
149.4.64.12/3/0/0|149.4.64.12/3/0/0/2
12.122.72.129/1/2/2|12.122.72.129/1/2/2/1
10.144.0.122/3/2/8|10.144.0.122/3/2/8/6002
12.82.0.53/4/0/2|12.82.0.53/4/0/2/12
12.82.0.53/3/0/6|12.82.0.53/3/0/6/54
12.123.80.46/1/1/0|12.123.80.46/1/1/0/25
143.0.24.237/0/0/4|143.0.24.237/0/0/4/9
149.8.0.160/5/0/1|149.8.0.160/5/0/1/1
12.82.0.62/1/1/1|12.82.0.62/1/1/1/25
12.122.74.1/0/3/0|12.122.74.1/0/3/0/14
150.0.0.212/0/1/4|150.0.0.212/0/1/4/65
149.9.0.29/0/0/4|149.9.0.29/0/0/4/6014
12.122.72.115/0/1/2|12.122.72.115/0/1/2/3
12.82.0.58/0/0/1|12.82.0.58/0/0/1/4
12.123.68.1/2/3/0|12.123.68.1/2/3/0/14
10.0.36.72/2/0/3|10.0.36.72/2/0/3/1
10.0.36.21/9/3/1|10.0.36.21/9/3/1/4
10.0.8.122/2/0/3|10.0.8.122/2/0/3/1
10.0.40.1/0/1/0|10.0.40.1/0/1/0/1
10.0.38.51/1/0/1|10.0.38.51/1/0/1/6
12.123.80.5/0/0/1|12.123.80.5/0/0/1/1
143.0.68.168/1/1/1|143.0.68.168/1/1/1/190
149.8.0.20/0/0/0|149.8.0.20/0/0/0/2
12.123.68.1/2/3/0|12.123.68.1/2/3/0/19
10.0.8.122/2/0/1|10.0.8.122/2/0/1/1
149.9.0.20/1/0/3|149.9.0.20/1/0/3/9
148.0.131.182/4/1/6|148.0.131.182/4/1/6/6027
143.0.24.145/9/0/0|143.0.24.145/9/0/0/40
143.0.68.68/1/0/5|143.0.68.68/1/0/5/12
150.0.0.213/2/0/5|150.0.0.213/2/0/5/11
10.0.36.7/5/2/2|10.0.36.7/5/2/2/1
12.123.68.1/2/0/8|12.123.68.1/2/0/8/0
12.123.80.27/2/0/3|12.123.80.27/2/0/3/6010
149.9.0.128/1/3/4|149.9.0.128/1/3/4/11
143.0.68.55/0/0/0|143.0.68.55/0/0/0/6002
148.0.131.230/5/0/1|148.0.131.230/5/0/1/4
148.0.131.182/0/0/0|148.0.131.182/0/0/0/3
10.144.0.61/10/0/1|10.144.0.61/10/0/1/3
10.0.40.7/7/1/4|10.0.40.7/7/1/4/1
12.122.72.112/1/0/6|12.122.72.112/1/0/6/2
143.0.68.67/2/0/0|143.0.68.67/2/0/0/3
149.0.3.135/0/2/0|149.0.3.135/0/2/0/6000
148.0.131.254/1/1/0|148.0.131.254/1/1/0/3
143.0.68.43/0/0/4|143.0.68.43/0/0/4/49
10.0.40.4/0/2/0|10.0.40.4/0/2/0/2
10.204.244.31/GigabitEthernet0/2|10.204.244.31/GigabitEthernet0/2/1
88.33.55.4/1/0/0|88.33.55.4/1/0/0/1
10.0.40.7/4/0/4|10.0.40.7/4/0/4/3
10.0.36.78/7/2/0|10.0.36.78/7/2/0/1
10.0.36.17/8/0/0|10.0.36.17/8/0/0/1
10.0.36.78/6/2/4|10.0.36.78/6/2/4/1
149.9.0.29/0/0/4|149.9.0.29/0/0/4/6008
12.123.80.85/0/1/2|12.123.80.85/0/1/2/38
143.0.68.247/4/2/4|143.0.68.247/4/2/4/169
143.0.68.254/2/3/4|143.0.68.254/2/3/4/58
149.8.0.160/2/3/0|149.8.0.160/2/3/0/1
149.0.3.208/2/0/0|149.0.3.208/2/0/0/7
10.0.40.36/1/0/3|10.0.40.36/1/0/3/1
143.0.68.69/1/0/6|143.0.68.69/1/0/6/22
12.82.0.61/5/0/4|12.82.0.61/5/0/4/11
143.0.68.120/2/3/0|143.0.68.120/2/3/0/4
143.0.24.59/0/0/3|143.0.24.59/0/0/3/10
